"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"24",1,0,1,NA,NA,11,NA,NA,1536,27,NA,262,4,NA,154125.296875,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,108675,NA,NA,0,0,2,34,NA,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,NA,2400,25,84525,2235,0,0,85732.5,7,0.200000002980232,0,0,0,0,0,0,0,12,16,108675,0,0,0,0,2,21,NA,88,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,2376,27,42504,4672,2,1,42504,8,0.699999988079071,0,0,0,0,0,0,0,NA,NA,43470,0,0,0,0,2,13,NA,30,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,3035,25,52106.0390625,4669,1,1,55004.0390625,7,0.5,0,101.430000305176,0,0,21,0,0,NA,NA,43470,0,0,0,0,2,13,NA,30,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,NA,25,NA,1975,5,NA,74865,NA,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,12,12,36514.80078125,0,0,0,0,2,14,NA,NA,NA,NA,NA,0
"52",0,0,1,10,6,6,1948,NA,0,26,0,1241,1,1,48300,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,12,12,36514.80078125,0,0,0,0,2,14,NA,NA,NA,NA,NA,1
"55",1,0,1,12,5,12,1947,NA,3020,27,31704.119140625,4146,2,1,43344.421875,9,1,8331.75,8331.75,0,0,0,0,0,12,12,36514.80078125,0,0,0,0,2,14,NA,11,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2409,26,18837,2187,2,1,18837,7,1,0,1719.47998046875,0,0,356,0,0,NA,NA,14007,0,0,0,0,3,3,NA,11,0,1,1,0
"57",1,0,1,4,8,8,1946,NA,3530,26,24150,142,2,1,26082,8,1.29999995231628,0,3419.63989257812,0,0,708,0,0,NA,NA,14007,0,0,0,0,3,23,NA,62,0,1,1,0
"67",1,1,0,NA,NA,8,NA,NA,1600,25,NA,3895,5,NA,47817,NA,1.5,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,NA,NA,NA,NA,NA,0
"607",1,1,0,12,4,5,1912,NA,1680,60,38640,5086,0,1,57902.0390625,42,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,21,0,1,1,0
"622",0,0,1,9,NA,8,NA,NA,0,28,0,3853,1,NA,85587.6015625,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,NA,400,30,9660,3530,0,1,74135.671875,12,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,1,0,1,0
"652",0,0,0,12,10,2,1941,NA,1440,32,14007,1366,1,NA,52492.44140625,10,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,NA,3570,44,96600,1769,0,1,124227.6015625,26,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"677",0,0,1,8,2,11,1934,NA,1600,40,19320,4222,0,1,116209.796875,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,NA,2066,58,91770,2885,6,1,95634,40,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"811",1,1,0,6,NA,8,NA,NA,3675,43,72450,1993,2,1,78419.8828125,25,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,44,0,1,1,0
"813",1,0,1,7,5,8,1916,NA,2205,58,43470,2674,0,1,81443.4609375,40,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,1890,32,41538,1077,2,1,77280,14,0.699999988079071,1932,1932,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,62,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,2700,27,37075.078125,2906,1,1,54791.51953125,11,0.400000005960464,0,0,0,0,0,0,0,8,8,26565,11592,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,0,32,0,5176,3,1,74637.9921875,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,NA,0,30,0,1527,2,1,87906,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,NA,2000,54,73899,2538,0,1,91456.046875,36,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,NA,2371,41,67620,639,1,1,79695,23,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,1,33,0,1,1,0
"894",0,0,1,17,4,9,1943,NA,150,30,5796,882,2,1,66171,12,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,NA,252,26,1651.85998535156,1980,1,1,171184.859375,1,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,NA,2240,35,85249.5,1452,3,1,96551.703125,18,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,NA,3060,49,30429,1677,0,1,93455.671875,15,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1036",0,1,0,13,7,10,1947,NA,NA,26,NA,3163,1,1,14973,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,NA,480,28,7728,3991,2,NA,46368,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"1132",0,0,1,12,NA,8,NA,NA,1880,45,43470,4705,0,0,45160.5,25,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,86,0,1,1,0
"1161",1,0,1,13,9,10,1930,NA,3000,43,96600,3569,2,1,144900,25,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"1180",0,0,1,17,9,12,1948,NA,1000,25,8974.1396484375,223,0,0,9940.1396484375,4,0.200000002980232,0,0,0,0,0,0,0,12,NA,86940,0,0,0,0,2,24,NA,NA,1,0,1,0
"1211",0,0,1,17,11,7,1943,NA,540,30,17871,1724,2,1,69069,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,NA,2080,30,11302.2001953125,1452,3,1,96551.703125,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1313",0,1,0,12,6,9,1924,NA,1120,47,14490,5068,0,NA,43102.921875,27,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,NA,2880,47,77280,3568,2,1,113988,29,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,0,1,1,0
"1334",0,0,1,12,1,10,1942,NA,1960,32,31762.080078125,3869,0,1,77893.40625,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,NA,0,31,0,1655,2,1,43470,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1363",1,1,0,12,11,4,1950,NA,NA,25,NA,4988,0,0,6433.56005859375,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,0
"1371",1,0,1,17,11,12,1948,NA,2676,25,26903.099609375,2331,0,1,70373.1015625,7,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,61,0,1,1,0
"1374",0,0,1,12,2,10,1926,NA,1520,48,15939,4009,2,NA,71967,20,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,NA,1824,47,120750,1153,0,1,152145,24,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"1489",1,0,1,8,NA,0,NA,NA,1640,45,29839.740234375,1312,0,0,29839.740234375,27,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,3,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,NA,2450,32,33327,736,2,1,116808.71875,10,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,NA,2000,30,21735,2506,2,0,40089,4,0.600000023841858,0,0,0,0,0,12075,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,86,0,1,1,0
"1519",1,0,1,16,1,11,1917,NA,2350,57,137655,1018,0,1,190785,39,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
"1532",0,0,1,12,8,11,1929,NA,600,44,7245,1223,0,1,89393.640625,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,NA,0,26,0,2537,3,NA,91287,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,NA,60,30,3864,1629,2,1,69841.796875,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"1608",0,0,1,16,7,9,1936,NA,0,37,0,1191,4,1,161418.59375,2,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"1662",0,0,1,16,9,11,1938,NA,720,34,9660,1495,2,1,115920,10,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1680",0,0,1,12,10,13,1924,NA,0,50,0,1627,0,1,76487.8828125,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"1700",1,0,1,12,7,9,1916,NA,2000,58,57960,4309,0,1,62790,40,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"1772",1,0,1,8,2,10,1928,NA,2160,46,45885,4670,1,1,50888.87890625,28,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,30,0,1,1,0
"1776",1,0,1,12,1,10,1938,NA,1920,36,60858,583,3,1,80178,16,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"1778",0,0,1,12,8,10,1920,NA,0,53,0,2587,1,1,77280,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1787",1,0,1,12,3,13,1921,NA,2550,53,66533.25,4517,1,1,121716,35,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,0,1,1,0
"1815",0,0,1,9,10,11,1915,NA,1893,58,47116.6484375,5055,0,0,47358.1484375,40,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"1822",0,0,1,12,8,12,1923,NA,0,50,0,467,0,1,88389,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1834",1,0,1,12,8,9,1929,NA,2400,44,45885,2160,1,1,45885,26,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,51,0,1,1,0
"1838",1,1,0,12,NA,8,NA,NA,2056,43,63089.4609375,4889,5,1,66567.0625,20,1.70000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,NA,2085,45,66654,2725,4,1,67281.8984375,23,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,31,0,1,1,0
"1848",0,0,1,NA,NA,12,NA,NA,1040,57,NA,686,0,NA,55545,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,0
"1858",1,0,1,12,9,10,1919,NA,2160,55,48300,1115,0,1,65688,20,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,NA,1960,47,9660,3549,2,NA,108433.5,4,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"1888",0,0,1,13,12,13,1920,NA,0,54,0,3425,0,1,198030,12,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"1929",1,0,1,16,8,11,1926,NA,2229,47,50232,5097,0,1,89355,27,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,NA,2546,27,50232,3440,0,1,56028,9,0.5,0,0,0,0,0,0,0,NA,16,86940,77280,0,0,0,1,20,NA,69,0,1,1,0
"1990",0,0,1,12,9,10,1947,NA,1856,26,43470,2814,1,1,120750,8,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2031",1,0,1,16,11,10,1939,NA,3380,34,75782.703125,3794,2,1,166635,16,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,NA,3288,27,48300,2178,1,1,55545,8,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,87,0,1,1,0
"2048",0,0,1,17,1,10,1947,NA,468,27,12316.5,1097,1,1,222421.5,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,16,144900,0,0,0,0,2,22,NA,NA,NA,NA,NA,1
"2065",1,0,1,16,4,13,1946,NA,2300,28,60375,4071,2,1,60858,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,51,0,1,1,0
"2096",1,0,1,13,12,11,1930,NA,2600,43,71484,2713,4,1,141842.609375,25,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,57,0,1,1,0
"2111",0,NA,NA,12,NA,10,NA,NA,910,38,5264.7001953125,2473,3,NA,57940.6796875,20,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"2192",1,0,0,4,NA,5,NA,NA,2072,40,43030.46875,3299,5,1,61548.69140625,19,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,1,40,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,NA,34,NA,4169,2,1,25091.849609375,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,NA,0,NA
"2208",0,NA,NA,NA,NA,13,NA,NA,1500,27,NA,5433,0,NA,103845,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,0
"2209",0,0,1,15,11,12,1946,NA,1280,27,20286,2466,1,0,47334,6,0.400000005960464,0,23184,23184,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,1,0,1,0
"2219",0,0,1,12,7,10,1923,NA,1500,50,33810,3129,1,NA,68643.9609375,20,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"2224",1,0,1,12,NA,9,NA,NA,3570,31,46851,5426,2,1,52690.46875,13,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,55,0,1,1,0
"2263",1,0,1,16,7,12,1948,NA,550,26,2415,2219,0,0,2415,8,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,11,0,1,1,0
"2280",0,0,1,11,11,11,1944,NA,120,30,1009.46997070312,3939,2,NA,27236.369140625,12,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2325",1,0,1,NA,NA,13,NA,NA,NA,46,NA,844,0,NA,66769.921875,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,32,NA,NA,NA,NA,NA,0
"2340",1,0,1,12,6,10,1913,NA,1920,60,38640,3783,0,1,48300,42,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,61,0,1,1,0
"2355",1,0,1,12,6,10,1945,NA,4056,28,25888.80078125,1726,0,0,25888.80078125,10,0.200000002980232,0,0,0,0,0,0,0,10,NA,NA,1352.40002441406,0,NA,0,2,13,NA,NA,0,1,1,0
"2357",0,0,1,12,3,10,1947,NA,660,26,7245,2486,1,1,40330.5,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2368",0,0,1,13,4,10,1942,NA,0,31,0,4291,4,1,98532,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"2387",0,1,0,16,8,10,1947,NA,1960,26,NA,3281,0,NA,44841.71875,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,14973,0,NA,0,3,16,NA,NA,NA,NA,NA,0
"2393",1,0,1,12,11,10,1934,NA,2011,39,56511,2212,1,1,125739.390625,21,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,51,0,1,1,0
"2394",1,0,1,10,5,12,1943,NA,2040,30,24150,1127,2,1,27627.599609375,12,1,0,0,0,0,0,3622.5,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,33,0,1,1,0
"2415",0,0,1,7,3,7,1938,NA,1920,35,21735,2407,2,1,62983.19921875,10,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"2443",1,0,1,12,2,10,1945,NA,2083,29,57960,3417,0,1,91287,11,0.300000011920929,0,0,0,0,0,0,0,12,8,3864,20286,0,0,0,2,13,NA,44,0,1,1,0
"2451",0,0,1,17,6,11,1948,NA,2080,25,30429,1932,0,1,44919,7,0.5,NA,NA,NA,NA,NA,NA,NA,12,12,62790,16905,0,0,0,4,4,NA,NA,NA,NA,NA,1
"2452",1,0,1,12,1,6,1927,NA,0,47,0,2974,0,1,28361.759765625,28,0.300000011920929,0,14258.16015625,14258.16015625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,2,NA,0,0,1,0
"2464",0,0,0,6,NA,7,NA,NA,540,27,4830,4993,0,NA,34293,11,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"2490",0,0,1,11,11,7,1942,NA,1280,31,33810,3501,2,0,64784.7890625,2,0.5,4588.5,30974.7890625,26386.2890625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,0,0,1,0
"2539",1,1,0,10,NA,6,NA,NA,0,58,0,20,0,1,7042.14013671875,35,0.400000005960464,0,10519.740234375,7042.14013671875,0,720,0,0,NA,NA,NA,NA,NA,NA,0,3,17,3,NA,0,0,1,0
"2581",0,0,1,15,3,12,1924,NA,1950,49,9418.5,3443,0,1,111573,2,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"2586",0,0,1,8,9,5,1929,NA,0,45,0,5089,2,1,36094.58984375,20,0.699999988079071,0,17982.08984375,0,15344.91015625,546,0,0,NA,NA,NA,NA,NA,NA,0,1,37,2,NA,0,0,1,0
"2616",0,0,1,12,3,10,1937,NA,0,37,0,3881,8,1,57356.25,4,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2633",0,NA,NA,11,NA,10,NA,NA,0,47,0,148,1,NA,31008.599609375,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"2636",0,0,1,12,8,7,1936,NA,2080,38,37915.5,2484,1,1,86664.6875,20,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,37,NA,NA,NA,NA,NA,1
"2666",0,1,0,12,8,8,1929,NA,1920,45,22445.009765625,4352,0,1,111872.4609375,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"2667",0,0,1,4,4,0,1934,NA,NA,40,NA,84,0,NA,6897.240234375,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"2668",1,0,1,12,NA,9,NA,NA,2400,37,78246,447,3,1,118721.3984375,20,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,71,0,1,1,0
"2695",1,0,1,13,NA,11,NA,NA,3595,31,73358.0390625,4762,2,1,78241.171875,11,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,11,0,1,1,0
"2701",1,0,1,12,6,11,1924,NA,2000,49,111090,1605,1,1,123165,28,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,51,0,1,1,0
"2710",1,0,1,12,5,10,1917,NA,2562,57,38176.3203125,4336,0,1,51700.3203125,39,0.699999988079071,0,1043.28002929688,0,0,216,0,0,NA,NA,NA,NA,0,NA,0,3,9,NA,83,0,1,1,0
"2713",1,0,1,15,11,12,1945,NA,2040,28,83076,1487,1,1,83076,10,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,61,0,1,1,0
"2801",1,0,1,12,12,12,1941,NA,3160,31,27531,1154,0,1,36345.75,6,0.400000005960464,120.75,120.75,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,49,0,1,1,0
"2804",1,1,0,5,3,8,1925,NA,2340,43,22894.19921875,421,3,1,61872.30078125,25,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,69,0,1,1,0
"2807",1,0,1,12,6,8,1944,NA,2550,29,62790,2205,2,1,86940,11,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,51,0,1,1,0
"2839",1,0,1,16,12,10,1927,NA,2450,47,362250,1013,1,1,415380,28,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,69,0,1,1,0
"2882",1,0,1,14,12,9,1947,NA,2256,26,64239,830,0,1,87727.2890625,8,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,33,0,1,1,0
"2888",1,0,1,12,NA,9,NA,NA,2000,52,63273,563,0,1,77956.203125,24,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,51,0,1,1,0
"2922",1,0,1,14,9,8,1915,NA,2739,58,122199,2790,0,1,175812,40,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,55,0,1,1,0
"2947",1,0,1,13,8,11,1944,NA,1976,29,37674,709,1,1,49266,11,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"2966",0,NA,NA,11,NA,5,NA,NA,1520,35,37437.328125,3889,0,NA,107578.59375,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"2978",0,0,1,16,NA,12,NA,NA,685,30,14490,719,0,NA,90321,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2997",1,0,1,12,5,10,1934,NA,2160,39,34293,514,2,1,69069,16,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,42,0,1,1,0
"3012",0,0,1,16,3,11,1930,NA,1365,44,41055,4499,0,1,120750,20,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"3077",1,0,1,16,1,12,1928,NA,2305,46,188370,4248,1,1,204792,25,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,85,0,1,1,0
"3090",0,0,1,15,8,11,1946,NA,0,27,0,72,1,1,74150.15625,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,12,12,77280,0,0,0,0,1,20,NA,NA,NA,NA,NA,1
"3098",0,0,1,12,2,13,1935,NA,2000,39,NA,5107,0,0,77328.296875,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,11,NA,0,0,0,0,0,1,37,NA,NA,NA,NA,NA,0
"3099",0,0,1,14,11,12,1928,NA,600,45,14490,4248,1,1,204792,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
