"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,2360,33,105600,1688,3,1,115200
"3",0,0,1,11,0,36,0,1425,1,1,106560
"5",1,0,1,12,2328,26,39744,444,3,1,43584
"6",1,0,1,12,2392,30,35664,412,2,1,35664
"7",1,0,1,12,1865,29,25896.9609375,397,3,1,33609.6015625
"8",0,0,1,13,1718,35,26880,640,3,1,65337.6015625
"9",1,0,1,12,2476,32,49920,987,3,1,71136
"16",0,1,0,12,3692,26,37440,5640,1,0,56862.71875
"17",1,1,0,13,2272,28,52919.0390625,4493,2,1,127249.921875
"18",0,1,0,16,1627,35,13440,5267,3,0,41280
"19",0,0,1,15,1708,33,48000,3751,2,0,48000
"20",1,1,0,13,2000,25,38400,6781,3,1,52800
"21",0,1,0,12,1945,31,45888,6414,3,0,46579.19921875
"25",0,0,1,16,0,32,0,5959,2,1,77760
"26",1,0,1,14,2584,34,78720,5903,0,0,78720
"27",1,0,1,17,2510,40,172800,6020,1,1,265344
"28",0,0,1,15,1828,25,19200,5902,0,0,23040
"30",1,0,1,17,2430,38,115200,5749,2,1,199680
"31",0,0,1,16,842,36,19200,4334,0,0,20928
"33",1,0,1,17,3344,30,163200,6123,2,1,246720
"38",0,0,1,12,2783,37,33408,3024,1,0,42023.0390625
"39",0,0,1,17,2308,27,28800,3420,0,1,73920
"41",1,0,1,9,620,32,28800,6444,0,0,54374.3984375
"42",1,0,1,14,717,41,32640,2345,3,1,32666.880859375
"44",0,0,1,16,1670,29,3072,2347,3,0,14257.919921875
"45",1,0,1,12,3250,39,53760,2348,2,1,79132.796875
"47",1,0,1,10,2090,26,40320,3254,0,0,40320
"50",1,0,1,11,2000,39,19200,3255,0,0,19200
"51",0,0,1,12,2090,30,15360,4363,2,1,63377.28125
"54",1,0,1,12,1465,36,15360,3253,1,1,29230.080078125
"55",1,0,1,12,2600,41,32640,5237,4,1,32640
"56",1,0,1,6,2600,41,21120,5724,3,1,24898.560546875
"59",1,0,1,10,1912,34,30720,2058,2,1,40896
"60",1,0,1,12,2070,35,23040,2683,0,1,42240
"61",1,0,1,10,2470,28,17280,5764,0,1,19077.119140625
"62",1,0,1,12,2400,37,22431.359375,2292,2,1,49509.12109375
"63",0,0,1,12,1232,25,6144,5759,2,1,17341.439453125
"64",1,0,1,14,2244,33,37372.80078125,2060,2,1,38140.80078125
"65",1,0,1,12,2080,26,19200,4052,2,1,21196.80078125
"70",1,1,0,12,2216,27,28800,652,4,1,28800
"72",0,1,0,12,2268,37,36480,1705,1,0,36480
"73",1,1,0,12,920,28,13248,626,2,1,26716.80078125
"75",1,1,0,12,2126,36,47040,1194,2,1,62400
"76",0,1,0,12,968,31,15360,6043,3,0,65280
"600",1,0,1,12,1748,34,57600,5647,2,1,69120
"632",1,0,1,11,2733,54,151680,2255,0,1,176640
"637",1,0,1,17,2160,45,115200,3581,1,1,159936
"670",1,0,1,12,2838,26,20960.640625,6849,0,1,33600
"674",0,0,1,17,1361,37,28800,5230,3,1,113568
"701",1,0,1,17,3430,33,70656,4849,2,1,100540.796875
"759",0,0,1,17,2032,30,24192,5951,0,1,57600
"764",0,0,1,13,2128,28,17280,1266,1,1,18144
"770",0,1,0,13,2677,30,61056,2141,1,1,111600
"780",1,0,1,15,2340,28,0,2165,0,0,18201.599609375
"790",1,0,1,12,2490,37,64128,1111,0,1,129024
"796",1,0,1,12,2066,36,36019.19921875,3413,0,0,39411.83984375
"805",1,1,0,12,2000,39,28800,2888,4,1,44160
"817",1,0,1,12,1968,47,13440,5015,0,0,20352
"839",1,0,1,12,2750,44,46848,4291,1,1,68897.28125
"840",1,0,1,17,2788,35,119040,6053,1,1,185280
"841",0,0,1,12,230,47,2112,2177,1,1,156288
"842",0,0,1,16,824,45,11520,4762,2,1,304416
"849",1,0,1,13,2145,26,21120,2331,1,1,36648.9609375
"865",1,0,1,10,2898,32,57408,5380,2,0,77683.203125
"892",1,0,1,12,2006,56,48000,2945,0,1,81792
"893",0,0,1,16,864,32,10560,5298,2,1,81600
"894",0,0,1,17,2412,46,37440,5765,1,1,172920.953125
"970",0,0,1,12,2040,40,21120,6033,0,1,43200
"975",1,0,0,12,2875,50,90624,3644,0,1,177947.515625
"998",0,0,1,12,2057,30,23251.19921875,2951,0,0,26096.640625
"1036",0,1,0,13,1960,41,28800,1162,1,1,81024
"1068",1,0,1,17,3380,39,17644.80078125,6059,0,1,63936
"1081",0,0,1,12,160,26,0,2984,1,1,184594.5625
"1114",1,0,1,14,1812,35,75436.796875,333,0,0,76419.84375
"1154",0,0,1,17,2136,35,84480,2072,1,1,128928
"1162",1,0,1,15,2550,25,35520,4515,0,0,35520
"1172",1,0,1,16,2050,29,80244.4765625,661,0,0,93114.2421875
"1180",0,0,1,17,120,40,0,3252,1,1,151712.640625
"1185",1,0,1,12,2500,30,55680,1416,0,1,96000
"1187",0,0,1,17,2430,36,80640,894,2,1,219456
"1205",1,0,1,17,2420,32,94080,4062,1,1,114240
"1206",1,0,1,12,3094,36,48000,5954,1,1,61436.16015625
"1211",0,0,1,17,1608,45,58560,1394,1,0,66480
"1212",0,0,1,12,1225,45,18432,3644,0,1,177947.515625
"1247",0,0,1,17,1250,32,30720,4726,2,1,78988.796875
"1249",1,0,1,14,2853,31,76800,3110,0,0,78336
"1289",0,0,1,14,0,30,0,6234,2,1,76848
"1290",0,0,1,16,2080,28,53760,6765,1,1,79526.3984375
"1314",0,0,1,14,1065,28,23040,3328,1,1,100032
"1334",0,0,1,12,1417,47,14837.759765625,3032,1,1,44401.921875
"1345",1,0,1,17,2243,35,54910.078125,3965,0,0,54910.078125
"1358",0,0,1,12,1793,45,23040,1703,0,1,110574.71875
"1371",1,0,1,17,1974,40,67601.28125,1634,2,1,93824.640625
"1412",0,0,1,12,1687,29,30720,695,2,1,87360
"1419",0,0,1,12,560,33,17280,1288,3,1,78720
"1490",0,0,1,11,0,47,0,4885,0,1,75129.6015625
"1505",1,0,1,12,2600,45,30336,3417,2,1,64488.9609375
"1506",0,1,0,14,2400,35,48000,5318,2,0,51916.80078125
"1511",1,0,1,16,2250,31,86400,4107,0,1,119040
"1544",0,0,1,12,2097,38,22295.0390625,6090,2,1,85802.8828125
"1546",0,0,1,14,1118,37,12366.7197265625,781,3,1,89385.6015625
"1584",0,0,1,16,1692,45,80640,6566,3,1,153408
"1597",1,1,0,14,2004,31,51840,3370,1,1,90240
"1608",0,0,1,16,0,52,0,3436,0,1,276672
"1626",0,0,1,14,2135,38,33600,998,0,0,40824.9609375
"1631",0,0,1,16,0,35,0,6223,2,1,155520
"1644",0,1,0,16,1040,30,7296,5948,1,1,40032
"1662",0,0,1,16,851,50,20736,1989,0,1,201216
"1674",0,0,1,16,1046,38,12672,5473,2,1,113088
"1679",0,0,1,12,522,32,3840,1843,3,1,70080
"1734",0,0,1,12,2266,39,33484.80078125,4225,1,0,44042.87890625
"1751",1,0,1,13,2205,29,48000,33,0,0,48000
"1797",0,0,1,16,2000,28,46080,3676,1,1,97920
"1834",1,0,1,12,1926,59,33600,2543,0,1,45361.921875
"1843",0,0,1,13,1960,27,18240,2906,0,0,61344
"1844",1,0,1,12,1920,60,72768,3129,0,0,73536
"1847",0,1,0,12,912,30,5184,137,3,0,8202.240234375
"1863",1,0,1,17,2195,39,95040,2580,3,1,103872
"1889",1,0,1,15,2268,35,80640,3021,2,1,81642.2421875
"1927",0,0,1,16,1978,25,31584,613,0,0,35424
"1945",1,0,1,16,2450,42,161280,5625,2,1,176832
"1955",0,0,1,12,0,28,0,4249,3,1,44736
"1956",0,0,1,12,235,30,16320,3289,2,1,62208
"1981",0,0,1,12,1517,39,32640,2745,2,1,85747.203125
"1982",0,0,1,16,0,38,0,5586,4,1,43200
"1990",0,0,1,12,1912,41,73344,5844,0,1,172464
"2001",0,0,1,16,1500,35,21120,2814,2,1,84480
"2010",0,0,1,12,2000,32,28800,6375,0,1,53760
"2016",0,0,1,16,606,39,1455.35998535156,3974,2,1,55833.6015625
"2031",1,0,1,16,3060,49,31737.599609375,3013,0,1,116160
"2032",1,0,1,16,2450,41,98616.9609375,1816,2,1,127296
"2048",0,0,1,17,0,42,0,6605,4,1,297600
"2065",1,0,1,16,0,42,40320,1629,1,0,141081.59375
"2086",0,1,0,17,2080,38,42240,3662,4,1,143808
"2094",1,0,1,16,2556,28,52704,3292,0,0,54144
"2096",1,0,1,13,2080,58,40320,5438,0,1,59635.19921875
"2107",1,0,0,12,3556,35,28416,2302,2,1,36096
"2147",1,0,1,14,2832,39,45918.71875,4262,4,1,163207.6875
"2205",1,0,1,13,1620,51,8256,2504,0,1,34176
"2248",0,0,1,14,1518,26,30720,5648,2,1,57600
"2249",1,0,1,10,2295,34,42240,4618,0,0,42240
"2253",1,0,1,12,2070,33,51840,3514,0,1,78912
"2263",1,0,1,16,2430,40,53760,4925,2,1,82560
"2269",1,0,1,17,4580,34,211200,7055,2,1,240960
"2280",0,0,1,11,0,44,0,3269,0,0,16715.51953125
"2284",0,1,0,14,835,27,7680,5134,1,0,24353.279296875
"2296",0,1,0,7,1960,38,15360,6710,5,1,41402.87890625
"2347",1,0,1,16,1974,36,76800,5567,3,1,77472
"2355",1,0,1,12,2167,43,21993.599609375,1912,0,0,23322.240234375
"2357",0,0,1,12,1399,42,13440,2028,3,1,57600
"2374",1,0,0,8,312,35,10560,6505,4,1,36768
"2387",0,1,0,16,1970,41,30720,495,0,0,30720
"2394",1,0,1,10,2650,45,40320,290,2,1,40769.28125
"2404",1,0,1,16,2470,36,55296,5855,2,1,84096
"2415",0,0,1,7,2032,51,18679.6796875,4146,0,1,81513.6015625
"2423",0,0,1,12,1813,31,41472,3552,1,0,46848
"2437",1,0,1,17,1974,31,12096,4751,1,1,15936
"2443",1,0,1,12,1949,44,79680,1939,1,1,81312
"2445",0,0,1,16,0,34,0,5650,3,1,518400
"2451",0,0,1,17,1576,40,69120,4669,0,1,199680
"2582",1,0,1,12,2590,39,38016,295,2,1,64512
"2616",0,0,1,12,0,52,0,623,2,1,21657.599609375
"2636",0,0,1,12,1215,52,29760,3477,0,1,54481.921875
"2654",1,0,1,17,2733,37,147840,3889,2,1,173088
"2666",0,1,0,12,0,59,0,2838,0,1,65756.15625
"2679",0,0,1,13,1752,26,26880,4205,0,1,47685.12109375
"2713",1,0,1,15,2500,43,78144,2965,0,0,80064
"2733",0,0,1,17,1696,25,30720,4438,0,1,68179.203125
"2734",1,0,1,12,2355,39,23040,4767,3,1,57600
"2753",1,0,1,14,2450,28,53760,2846,1,1,72576
"2795",1,0,1,15,3000,33,192000,1222,2,1,197760
"2801",1,0,1,12,2294,47,34560,1832,0,1,40976.640625
"2807",1,0,1,12,2205,44,35717.76171875,5742,0,1,130944
"2855",0,0,1,12,244,37,1728,1687,2,1,53664
"2856",1,0,1,12,2018,27,50880,4581,1,1,51682.55859375
"2866",1,0,1,17,1960,31,58752,5427,2,1,54168.9609375
"2871",1,0,1,14,2419,38,24401.279296875,143,3,1,51648
"2882",1,0,1,14,3440,41,59520,936,2,1,103680
"2892",0,0,1,17,0,30,0,1976,1,1,51072
"2915",0,0,1,12,623,31,3536.63989257812,5329,3,1,75536.640625
"2927",1,0,0,16,1944,38,91793.28125,2501,2,1,145816.3125
"2929",1,0,1,11,141,32,1536,5304,2,1,55872
"2933",1,0,1,12,1944,33,63360,147,1,1,114048
"2954",1,0,1,12,2300,34,6969.60009765625,164,1,0,10886.400390625
"2997",1,0,1,12,2500,54,15576.9599609375,4803,1,1,55296
"3012",0,0,1,16,216,59,3840,896,0,1,61056
"3053",0,0,1,16,2125,34,60096,285,0,1,169056
"3065",1,0,1,12,2040,31,38400,3577,0,0,38400
"3090",0,0,1,15,497,42,6336,1060,1,1,133824
"3098",0,0,1,12,1800,54,45425.28125,6532,0,0,49514.87890625
"3159",1,0,1,14,2964,39,44352,1605,0,1,133440
"3168",0,0,1,14,1388,30,19200,3061,2,1,49954.55859375
"3253",1,0,1,12,3334,40,38400,2934,2,1,41197.44140625
"3259",0,0,1,12,1220,35,19200,5881,2,0,28416
"3271",1,0,1,16,2580,38,57600,6575,2,1,57600
"3292",1,0,1,12,2584,31,28800,2789,2,1,59520
"3303",0,0,1,12,2160,36,86400,1605,0,1,133440
"3306",1,0,1,17,2450,34,71040,5410,1,1,119232
"3322",0,0,1,14,2015,25,16120.3203125,3225,0,0,16120.3203125
"3336",0,0,1,13,2482,29,23040,6726,1,1,145728
"3352",0,0,0,12,1944,33,58373.76171875,2501,2,1,145816.3125
"3392",0,0,1,12,0,43,0,3114,2,1,150873.59375
"3397",1,0,1,12,2156,33,88320,1453,2,1,88320
"3412",0,0,0,14,0,39,0,1170,4,1,120000
"3419",0,0,1,17,1000,35,48000,6053,1,1,185280
"3425",1,0,1,17,2860,39,96576,1455,2,1,97344
"3426",0,0,1,14,1428,41,33600,1899,0,0,41448.9609375
"3444",0,0,1,17,0,35,0,6979,3,1,280320
"3449",0,1,0,9,0,33,0,1178,1,1,21888
"3454",1,0,1,16,2115,37,44160,2072,1,1,128928
"3478",1,0,1,12,2779,36,42432,1013,3,1,49806.71875
"3488",0,0,1,17,1818,49,72960,2262,1,1,336384
"3493",1,0,1,12,683,26,16320,7079,0,0,16320
"3523",1,0,1,12,864,37,19200,5412,0,0,21120
"3527",1,0,1,16,2187,30,40498.55859375,6234,2,1,76848
"3532",0,0,1,12,1432,47,16704,3325,0,1,10233.599609375
"3541",1,0,1,12,1510,49,2688,6785,0,1,29568
"3545",0,0,1,13,1992,30,2634.23999023438,4247,2,1,28170.240234375
"3582",1,0,1,17,1988,40,74739.84375,3873,2,1,74997.1171875
"3591",0,0,0,12,1976,41,27840,6853,1,1,87360
"3599",0,0,1,9,2080,33,5491.2001953125,2768,4,0,10352.6396484375
"3601",0,1,0,12,0,27,0,3582,3,1,163841.28125
"3627",1,0,1,17,2545,33,65280,610,0,1,100032
"3630",1,0,1,15,1635,30,26880,2754,0,0,26880
"3646",0,0,1,11,1960,57,29452.80078125,1240,0,1,82828.796875
"3672",0,0,1,12,1504,55,27264,2329,0,1,91392
"3676",1,0,1,17,1460,54,86400,1892,0,1,106560
"3710",0,0,1,16,2080,40,32640,1713,1,1,124800
"3714",0,0,1,12,2192,29,59520,4860,0,0,67968
"3726",0,0,1,16,1709,27,96000,3608,0,0,96000
"3780",1,0,1,13,2040,55,28800,5550,0,1,46579.19921875
"3814",0,0,1,12,2080,35,31680,2708,4,1,61584
"3818",1,0,1,12,2158,30,74304,4710,2,1,84958.078125
"3830",1,0,0,14,1920,53,81847.6796875,7015,0,1,104474.8828125
"3872",0,0,1,13,325,26,2304,3326,2,1,44659.19921875
"3886",0,0,1,17,1629,42,38400,34,2,1,40281.6015625
"3951",1,0,1,16,3845,43,74547.84375,4074,4,1,94746.2421875
"3953",0,0,1,16,2040,38,49920,2892,0,0,74880
"3958",0,0,1,13,0,40,0,1280,1,1,199804.796875
"3972",1,0,1,11,2394,27,40320,3442,0,1,45696
"3980",1,0,1,10,2246,51,78768,5224,0,1,112686.71875
"4044",0,0,1,16,0,26,0,5840,0,1,25536
"4071",1,0,1,12,2820,31,45336.9609375,3591,0,0,47804.16015625
"4080",1,0,1,16,3120,33,92160,3374,2,1,92160
"4082",0,0,1,16,2573,34,384,5203,0,0,4224
"4112",0,0,1,12,1000,26,11520,2544,0,1,36480
"4116",1,0,1,13,1860,54,39118.078125,817,0,1,76790.3984375
"4128",1,0,1,14,2940,36,88320,2491,0,1,90240
"4131",0,0,1,12,1865,38,53760,3939,2,0,63360
"4140",1,0,1,12,1300,31,0,2726,4,1,28871.0390625
"4151",0,1,0,12,1040,54,15360,5420,0,0,27456
"4157",1,0,1,17,3797,40,99840,5473,2,1,113088
"4190",0,0,1,17,2115,42,86400,6020,1,1,265344
"4192",0,0,1,14,2920,33,42240,1464,0,1,72960
"4197",0,0,1,16,0,38,0,3873,2,1,74997.1171875
"4224",1,0,1,12,768,38,28800,7088,1,1,70080
"4225",1,0,1,11,3880,31,38400,895,2,1,52800
"4231",0,0,1,16,1710,37,40320,3529,2,1,105600
"4251",1,0,1,15,2205,35,105600,1763,2,1,152601.59375
"4263",1,0,1,12,2130,25,23040,1109,0,0,24000
"4275",0,0,1,16,2940,34,92160,1392,0,0,92160
"4283",1,0,1,17,1930,47,85440,429,1,1,129770.8828125
"4323",0,0,1,16,684,27,8064,4552,2,1,172032
"4333",1,0,1,16,2122,48,157440,6022,2,1,158592
"4342",0,0,1,11,1754,30,9600,3903,0,1,83806.078125
"4365",1,1,0,12,1722,31,14208,779,2,1,31872
"4377",0,0,1,16,2054,39,48950.3984375,1521,0,0,49729.921875
"4397",1,0,1,11,2041,48,15461.759765625,3500,0,1,48883.19921875
"4434",0,0,1,13,1760,29,42240,1737,0,1,107904
"4448",0,0,1,12,2240,34,11520,4781,2,1,48000
"4459",1,0,1,15,2241,34,21120,2437,1,1,46656
"4477",1,0,1,12,2522,46,11715.83984375,3975,0,1,27072
"4502",1,0,1,16,2362,29,55680,5565,0,0,55872
"4509",1,0,1,17,2500,28,57600,6177,0,0,67985.28125
"4513",0,0,1,15,0,30,0,2275,2,1,15360
"4535",0,0,1,13,520,29,1075.19995117188,3159,3,1,82368
"4591",1,0,1,17,2450,35,69120,797,4,1,70272
"4636",1,0,1,16,2619,31,72960,4969,0,0,73344
"4671",0,0,1,13,0,34,0,797,4,1,70272
"4766",0,0,1,16,2618,26,33177.6015625,1393,0,0,34137.6015625
"4768",1,1,0,11,0,52,0,3193,0,1,60456.9609375
"4772",1,0,1,16,2500,34,80640,3256,3,1,95232
"4778",0,0,1,12,1050,36,11061.1201171875,5675,2,1,101280
"4781",1,0,1,12,2696,36,44951.0390625,850,3,1,66839.0390625
"4806",0,0,1,17,1871,35,41030.3984375,2398,0,1,114988.796875
"4818",0,0,1,12,1944,56,69120,3799,0,0,69120
"4855",0,0,1,13,1144,38,20774.400390625,4638,2,1,127311.359375
"4857",1,0,1,14,705,43,90240,4771,0,1,93292.796875
"4869",0,0,1,12,0,36,0,5710,2,1,44160
"4876",0,0,1,12,809,45,5376,2729,2,0,38069.76171875
"4881",1,1,0,13,1600,32,11520,6130,1,1,31065.599609375
"4893",1,0,1,17,1177,27,30720,6007,1,1,45312
"4894",0,0,1,14,1960,38,30720,5008,1,1,109056
"4922",1,0,1,17,1611,37,57600,2444,1,1,66240
"4948",0,0,1,12,387,34,2887.67993164062,2726,4,0,28871.0390625
"4961",0,0,1,17,0,57,0,4032,0,1,167099.515625
"4965",1,0,1,17,2250,33,149760,6223,2,1,155520
"4978",0,1,0,13,1920,28,32640,6602,1,0,32832
"4999",0,0,1,12,0,31,0,4049,3,1,68928
"5026",0,0,0,12,0,28,0,3932,3,0,24000
"5033",1,0,1,11,3570,36,32227.19921875,2620,3,1,67392
"5052",0,0,1,12,0,31,0,4947,2,1,16513.919921875
"5094",0,0,1,17,343,39,7104,4009,2,1,151104
"5097",0,0,1,12,0,51,0,4169,0,1,85056
"5117",1,0,1,12,2460,27,40771.19921875,2877,2,1,65498.87890625
"5121",1,0,1,12,1874,60,78960,4481,0,1,145152
"5144",0,0,1,12,0,55,0,2384,1,1,41011.19921875
"5146",0,0,1,15,2218,36,59520,588,0,0,59520
"5160",1,0,1,14,2450,26,80640,2673,0,1,147840
"5163",1,0,1,16,2322,44,46080,6668,2,1,105216
"5186",0,0,1,14,1984,38,23040,595,2,1,85532.15625
"5188",1,0,1,16,3060,42,134400,5335,0,1,190540.796875
"5200",1,0,1,16,1976,37,56160,1044,0,0,56160
"5209",0,0,1,16,1488,25,46080,436,0,1,111744
"5236",0,0,1,17,2028,28,61440,969,0,1,95865.6015625
"5300",0,0,1,17,1341,57,17450.880859375,564,0,1,104695.6796875
"5301",0,0,1,12,2000,53,30720,3922,0,1,40320
"5347",0,0,1,10,1800,47,11520,5068,4,1,77483.5234375
"5366",1,0,1,12,2070,55,61440,6900,0,1,77760
"5382",0,0,1,15,1976,46,16174.080078125,688,3,1,93064.3203125
"5434",1,0,1,14,1940,32,67200,5472,1,1,67968
"5439",1,1,0,13,2340,39,71040,264,3,1,72664.3203125
"5468",0,0,1,12,2058,26,18816,1838,0,0,18816
"5470",0,0,1,15,1397,30,14400,2128,3,1,49545.6015625
"5487",0,0,1,9,1075,49,14208,4952,1,1,78067.203125
"5496",0,0,1,14,2205,26,34368,610,0,1,100032
"5522",1,0,1,16,2097,35,71040,3923,3,1,109824
"5558",1,0,1,11,977,33,25921.919921875,2230,1,1,38655.359375
"5562",0,0,1,12,2960,26,32640,3148,0,0,33150.71875
"5608",1,0,1,17,2354,37,62400,5465,3,1,66048
"5614",1,0,1,17,2075,30,72960,5111,0,0,73248
"5638",0,0,1,14,0,60,0,1748,0,1,76800
"5654",0,0,1,12,0,28,0,6773,1,1,72960
"5662",0,1,0,12,132,34,768,4218,2,1,37248
"5683",0,0,1,14,1976,32,21888,850,3,1,66839.0390625
"5685",1,0,1,13,2586,32,56448,4118,2,1,80448
"5690",1,0,1,13,1780,27,24960,5149,0,0,27456
"5691",0,0,1,12,0,30,0,6731,2,1,76800
"5702",1,0,1,16,2200,41,103680,2492,0,0,147840
"5708",0,0,1,14,0,38,0,276,2,1,186240
"5736",1,0,1,14,2440,42,95919.359375,293,1,1,196089.59375
"5738",1,0,1,16,2750,38,156182.40625,2893,2,1,163833.59375
"5810",0,0,1,11,980,56,9600,1920,0,0,16106.8798828125
"5817",1,0,1,12,2550,28,38400,1351,2,1,54144
"5841",1,0,1,12,2000,48,32640,2201,1,1,50784
"5850",0,0,1,12,2140,53,65280,3453,0,0,69312
"5859",0,1,0,16,1880,38,67200,3373,2,1,141888
"5868",1,0,1,16,2024,42,58560,163,2,1,88128
"5929",0,0,1,16,688,32,3840,1244,2,1,63360
"5935",0,0,1,13,1860,37,22510.080078125,3282,2,1,76202.8828125
"5983",1,0,1,12,2040,43,66240,4712,1,1,79488
"6044",1,0,1,16,1993,33,80400,5132,3,1,82857.6015625
"6051",1,0,1,16,2200,51,0,3524,2,1,86400
"6053",0,0,1,17,416,34,9600,4576,2,1,73056
"6055",1,1,0,17,1904,40,74112,3373,2,1,141888
"6070",0,0,1,14,0,33,0,7073,2,0,12257.2802734375
"6098",1,0,1,16,2490,33,128640,1441,2,1,168347.515625
"6117",1,0,1,10,3640,47,11174.400390625,986,1,1,24000
"6141",0,0,1,16,0,25,0,2206,1,0,6566.39990234375
"6151",0,0,1,14,1824,27,43200,1607,0,1,135360
"6153",0,0,1,16,2450,30,61440,5744,0,1,263040
"6170",0,0,1,17,1458,31,15360,6871,0,1,30720
"6203",0,0,1,14,2068,37,15360,1503,2,1,72960
"6209",1,0,0,12,2360,30,40320,5413,0,1,70502.3984375
"6217",0,0,1,11,0,49,0,2574,0,1,52805.76171875
"6228",0,0,1,10,1970,47,29126.400390625,3754,0,1,76742.3984375
"6281",1,0,1,17,1549,33,138240,782,0,1,153600
"6295",0,0,1,12,780,38,5760,5787,3,1,65953.921875
"6300",0,0,1,17,2568,50,103680,3463,0,0,89280
"6397",1,0,1,12,2450,55,96000,2278,0,1,168000
"6457",1,0,1,12,2580,36,32236.80078125,5183,3,1,67200
"6503",0,0,1,17,1935,41,46080,360,1,1,120576
"6574",0,0,1,12,1440,33,21120,5342,1,0,21120
"6592",1,0,1,12,1982,28,25584,3205,0,0,39081.6015625
"6608",0,0,1,12,0,52,0,2819,1,1,73724.15625
"6623",1,0,1,14,2223,36,46080,2019,2,1,82560
"6645",1,0,1,16,2205,42,74880,5925,2,1,113472
"6681",0,0,1,12,2128,30,21120,4240,3,0,21120
"6703",1,0,1,12,1711,35,21120,7042,0,0,22250.880859375
"6729",0,1,0,12,2104,39,44160,1284,0,0,72576
"6753",1,0,1,17,2730,30,95040,3987,2,1,95904
"6821",1,0,1,13,1962,34,54336,5644,2,1,62784
"6859",1,0,1,17,2550,31,61440,5661,0,1,110400
"6872",1,0,1,13,1974,49,69120,3871,0,1,92160
"6882",1,0,1,16,1896,39,61440,6363,2,1,74304
"6902",0,1,0,12,168,27,960,2795,1,0,24898.560546875
"6907",0,0,1,12,0,58,0,4648,0,1,35781.12109375
"6912",0,0,1,12,3060,57,7528.31982421875,6709,0,1,100243.203125
"6931",0,0,1,12,1594,42,12480,4399,0,1,46139.51953125
"6942",1,0,1,12,2000,60,53760,3701,1,1,72384
"7023",0,0,1,12,3020,50,21120,1256,0,0,41472
"7031",1,0,1,12,2062,54,19200,2916,0,1,55104
"7055",0,0,1,13,0,36,0,6634,3,1,72499.203125
"7061",1,0,1,16,3374,36,172800,5744,0,1,263040
"7081",1,0,1,12,2295,29,55680,1059,2,1,61440
"7089",0,0,1,11,2180,44,21504,90,0,1,118110.71875
"7104",1,0,1,16,2964,38,79645.4375,1949,1,1,261120
"7111",0,0,1,14,3500,35,44640,1489,2,1,116352
"7142",0,0,1,16,1848,40,86400,6475,0,1,173472
"7153",1,0,1,16,2400,46,163200,7040,1,1,271872
"7159",1,0,1,17,2040,42,42681.6015625,3790,2,1,134822.40625
"7211",1,0,1,9,1960,31,30720,5557,2,1,53856
"7213",0,0,1,12,1940,37,36480,821,1,1,82331.5234375
"7216",0,0,1,12,0,34,0,6477,2,1,57600
"7218",1,0,1,12,2205,32,69600,5857,2,1,77203.203125
"7220",0,0,1,12,2194,30,34560,2907,0,1,85603.203125
"7254",0,0,1,12,0,57,0,259,0,1,53235.83984375
"7276",1,0,1,17,0,28,0,4730,2,1,30720
"7283",1,0,1,12,2080,38,24960,4823,0,0,24960
"7298",0,0,1,12,0,60,0,2842,0,1,43718.3984375
"7330",1,0,1,17,3722,35,126253.4375,6771,4,1,136828.796875
"7333",1,0,1,10,1208,42,32256,6405,1,1,79173.1171875
"7347",0,0,1,16,1737,38,42240,4385,2,1,103296
"7350",1,0,1,14,1912,45,74880,967,2,1,159705.59375
"7358",1,0,1,13,1568,40,21120,1101,0,0,21120
"7367",0,0,1,12,1000,33,11904,1314,2,1,101664
"7403",1,0,1,6,1359,60,66624,1167,0,1,70464
"7405",1,0,1,14,3060,42,36480,4301,4,1,87137.28125
"7415",0,0,1,12,1920,34,42240,3824,0,1,86400
"7423",1,0,1,13,2288,25,24960,157,0,0,24971.51953125
"7448",1,0,1,12,1000,31,0,3392,0,0,1.91999995708466
"7496",0,0,1,17,1673,39,48000,6937,3,1,138155.515625
"7505",1,0,1,12,2072,27,25920,310,1,1,26150.400390625
"7524",1,0,1,17,0,31,0,4956,0,0,13440
"7543",0,0,1,17,233,40,2688,2893,2,1,163833.59375
"7555",1,0,1,10,2448,48,26860.80078125,4096,0,0,26860.80078125
"7568",0,0,1,17,792,30,8640,2452,2,1,58800
"7585",1,0,1,14,2185,43,42240,4560,2,1,82944
"7610",1,0,1,12,1779,28,26880,4815,1,1,80640
"7635",1,0,1,17,2794,25,32640,4504,0,1,77068.796875
"7686",0,0,1,8,2012,38,25344,3232,3,1,52619.51953125
"7746",0,0,1,13,1912,55,28800,1581,0,1,109440
"7800",1,0,1,13,2165,43,43776,4314,0,1,91862.3984375
"7827",1,0,1,8,2525,40,20160,484,0,1,20160
"7837",1,0,1,17,1928,40,61440,2175,2,1,110976
"7853",0,0,1,12,1129,34,16097.2802734375,5374,4,1,78618.2421875
"7856",1,0,1,13,2976,41,57600,4028,1,1,81273.6015625
"7892",1,0,1,12,2750,32,57600,2328,2,1,65280
"7896",1,0,1,17,2990,31,80640,3187,2,1,118656
"7902",1,1,0,11,1818,41,15360,1184,3,1,16195.2001953125
"7924",1,0,1,12,1900,36,44160,5081,3,1,69792
"7988",0,0,1,15,1615,40,46080,4852,3,1,104136.9609375
"8007",1,0,1,14,2450,28,47314.55859375,5813,1,1,87672.9609375
"8013",1,0,1,17,1028,27,16704,969,0,1,95865.6015625
